School Name,City,State,District Name,2010/11/Award Amount,Model Selected,Location
MANN ELEM.,ST LOUIS,MO,ST. LOUIS CITY,"$380,419.00 ",Turnaround,"4047 JUNIATA ST
ST LOUIS, MO 63116
(38.6019, -90.2539)"
EAST MIDDLE,ST LOUIS,MO,HAZELWOOD,"$172,251.00 ",Turnaround,"1865 DUNN RD
ST LOUIS, MO 63138
(38.7746, -90.2345)"
HAMILTON ELEM. COMMUNITY ED.,ST LOUIS,MO,ST. LOUIS CITY,"$363,928.00 ",Turnaround,"4160 NORTH KINGSHWY
ST LOUIS, MO 63115
(38.6808, -90.2474)"
CARUTHERSVILLE MIDDLE,CARUTHERSVILLE,MO,CARUTHERSVILLE 18,"$379,564.00 ",Transformation,"1705 WARD AVE
CARUTHERSVILLE, MO 63830
(36.1803, -89.664)"
R. G. CENTRAL MIDDLE,ST LOUIS,MO,RIVERVIEW GARDENS,"$199,415.00 ",Turnaround,"9800 PATRICIA BARKALOW DR
ST LOUIS, MO 63137
(38.7454, -90.2367)"
GENESIS SCHOOL INC.,KANSAS CITY,MO,GENESIS SCHOOL INC.,"$250,120.00 ",Turnaround,"3800 EAST 44TH ST
KANSAS CITY, MO 64130
(39.046, -94.5402)"
WALBRIDGE ELEM. COMMUNITY ED.,ST LOUIS,MO,ST. LOUIS CITY,"$377,942.00 ",Turnaround,"5000 DAVISON AVE
ST LOUIS, MO 63120
(38.6937, -90.2508)"
JENNINGS JR. HIGH,JENNINGS,MO,JENNINGS,"$364,226.00 ",Transformation,"8831 COZENS
JENNINGS, MO 63136
(38.7282, -90.2581)"
LANGSTON MIDDLE,ST LOUIS,MO,ST. LOUIS CITY,"$436,579.00 ",Transformation,"5511 WABADA AVE
ST LOUIS, MO 63112
(38.6731, -90.2717)"
HAYTI HIGH,HAYTI,MO,HAYTI R-II,"$10,302.00 ",Transformation,"400 NORTH FOURTH ST
HAYTI, MO 63851
(36.2358, -89.748)"
FANNING MIDDLE COMMUNITY ED.,ST LOUIS,MO,ST. LOUIS CITY,"$444,175.00 ",Transformation,"3417 GRACE AVE
ST LOUIS, MO 63116
(38.5957, -90.2447)"
CONSTRUCTION CAREERS CENTER,ST LOUIS,MO,CONSTRUCTION CAREERS CENTER,"$533,168.00 ",Transformation,"1224 GRATTAN
ST LOUIS, MO 63104
(38.6177, -90.2084)"
RIVERVIEW GARDENS SR. HIGH,ST LOUIS,MO,RIVERVIEW GARDENS,"$512,669.00 ",Turnaround,"1218 SHEPLACEEY
ST LOUIS, MO 63137
(38.7554, -90.2137)"
B. BANNEKER ACADEMY,KANSAS CITY,MO,B. BANNEKER ACADEMY,"$912,903.00 ",Turnaround,"8310 HOLMES RD
KANSAS CITY, MO 64131
(38.9766, -94.5811)"
VAN HORN HS AT EAST,KANSAS CITY,MO,KANSAS CITY 33,"$806,900.00 ",Transformation,"1924 VAN BRUNT BLVD
KANSAS CITY, MO 64127
(39.0877, -94.5201)"
VASHON HIGH,ST LOUIS,MO,ST. LOUIS CITY,"$399,827.00 ",Turnaround,"3035 CASS AVE
ST LOUIS, MO 63106
(38.6468, -90.2209)"
SMITH-HALE JR. HIGH,KANSAS CITY,MO,HICKMAN MILLS C-1,"$169,925.00 ",Transformation,"8925 LONGVIEW RD
KANSAS CITY, MO 64134
(38.9155, -94.4854)"
L'OUVERTURE MIDDLE,ST LOUIS,MO,ST. LOUIS CITY,"$441,804.00 ",Transformation,"3021 HICKORY ST
ST LOUIS, MO 63104
(38.6226, -90.2277)"
MCCLUER SOUTH-BERKELEY HIGH,FERGUSON,MO,FERGUSON-FLORISSANT R-II,"$407,822.00 ",Transformation,"201 BROTHERTON LN
FERGUSON, MO 63135
(38.732, -90.3038)"
ASHLAND ELEM. AND BR.,ST LOUIS,MO,ST. LOUIS CITY,"$353,737.00 ",Turnaround,"3921 NORTH NEWSTEAD
ST LOUIS, MO 63115
(38.671, -90.2355)"
ALTA VISTA CHARTER SCH.,KANSAS CITY,MO,ALTA VISTA CHARTER SCH.,"$256,538.00 ",Transformation,"1722 HOLLY ST
KANSAS CITY, MO 64108
(39.0925, -94.5981)"
NORMANDY HIGH,ST LOUIS,MO,NORMANDY,"$402,089.00 ",Transformation,"6701 ST CHARLES ROCK RD
ST LOUIS, MO 63133
(38.6832, -90.2962)"
NORTHEAST HIGH,KANSAS CITY,MO,KANSAS CITY 33,"$806,900.00 ",Transformation,"415 SOUTH VAN BRUNT
KANSAS CITY, MO 64124
(39.1088, -94.5259)"
SIGEL ELEM. COMM. ED. CTR.,ST LOUIS,MO,ST. LOUIS CITY,"$382,436.00 ",Turnaround,"2050 ALLEN AVE
ST LOUIS, MO 63104
(38.6105, -90.2166)"
ERVIN JR. HIGH,KANSAS CITY,MO,HICKMAN MILLS C-1,"$46,872.00 ",Closure,"10530 GREENWOOD RD
KANSAS CITY, MO 64134
(38.9326, -94.4869)"
JEFFERSON ELEM.,ST LOUIS,MO,ST. LOUIS CITY,"$340,193.00 ",Transformation,"1301 HOGAN ST
ST LOUIS, MO 63106
(38.6411, -90.2025)"
BERKELEY MIDDLE,BERKELEY,MO,FERGUSON-FLORISSANT R-II,"$307,826.00 ",Transformation,"8300 FROST AVE
BERKELEY, MO 63134
(38.7606, -90.3262)"
WESTVIEW MIDDLE,ST LOUIS,MO,RIVERVIEW GARDENS,"$199,415.00 ",Turnaround,"1950 NEMNICH
ST LOUIS, MO 63136
(38.7425, -90.2619)"
URBAN COM. LEADERSHIP ACADEMY,KANSAS CITY,MO,URBAN COM. LEADERSHIP ACADEMY,"$966,394.00 ",Turnaround,"1524 PASEO BLVD
KANSAS CITY, MO 64108
(39.0941, -94.5648)"
LEFLORE COUNTY HIGH SCHOOL,ITTA BENA,MS,LEFLORE CO SCHOOL DIST,$175.00 ,Transformation,"401 LAKESIDE DR
ITTA BENA, MS 38941
(33.4896, -90.322)"
HAZLEHURST HIGH SCHOOL,HAZLEHURST,MS,HAZLEHURST CITY SCHOOL DISTRICT,"$12,061.00 ",Transformation,"101 SOUTH HALEY ST
HAZLEHURST, MS 39083
(31.8602, -90.3924)"
WINGFIELD HIGH SCHOOL,JACKSON,MS,JACKSON PUBLIC SCHOOL DIST,"$174,731.00 ",Transformation,"1985 SCANLON DR
JACKSON, MS 39204
(32.2829, -90.2435)"
W A HIGGINS MIDDLE SCHOOL,CLARKSDALE,MS,CLARKSDALE MUNICIPAL SCHOOL DIST,$125.00 ,Transformation,"1749 CHESNUT ST
CLARKSDALE, MS 38614
(34.194, -90.5557)"
GENTRY HIGH SCHOOL,INDIANOLA,MS,INDIANOLA SCHOOL DIST,"$129,091.00 ",Transformation,"801 B.B. KING
INDIANOLA, MS 38751
(33.4426, -90.6428)"
PORT GIBSON HIGH SCHOOL,PORT GIBSON,MS,CLAIBORNE CO SCHOOL DIST,$175.00 ,Transformation,"159 OLD HWY 18 1
PORT GIBSON, MS 39150
(31.9575, -90.9819)"
NORTH PANOLA HIGH SCHOOL,SARDIS,MS,NORTH PANOLA SCHOOLS,"$790,586.00 ",Transformation,"500 HWY 51 NORTH
SARDIS, MS 38666
(34.4308, -89.925)"
HAZLEHURST MIDDLE SCHOOL,HAZLEHURST,MS,HAZLEHURST CITY SCHOOL DISTRICT,"$143,209.00 ",Transformation,"112 SCHOOL DR
HAZLEHURST, MS 39083
(31.8515, -90.3882)"
PLENTY COUPS HIGH SCHOOL,PRYOR,MT,PLENTY COUPS H S,"$380,711.00 ",Transformation,"1 HIGH SCHOOL LN
PRYOR, MT 59066
(45.4297, -108.533)"
PRYOR 7-8,PRYOR,MT,PRYOR ELEM,"$134,368.00 ",Transformation,"1 HIGH SCHOOL LN
PRYOR, MT 59066
(45.4297, -108.533)"
FRAZER HIGH SCHOOL,FRAZER,MT,FRAZER H S,"$799,203.00 ",Transformation,"325 6TH ST
FRAZER, MT 59225
(48.0599, -106.046)"
PRYOR ELEM SCHOOL,PRYOR,MT,PRYOR ELEM,"$380,711.00 ",Transformation,"612 AWAY KURWAK
PRYOR, MT 59066
(45.4305, -108.533)"
LAME DEER HIGH SCHOOL,LAME DEER,MT,LAME DEER H S,"$137,653.00 ",Transformation,"3 MI SOUTH OF LAME DEER
LAME DEER, MT 59043
(45.5689, -106.521)"
LODGE GRASS HIGH SCHOOL,LODGE GRASS,MT,LODGE GRASS H S,"$129,044.00 ",Transformation,"124 NORTH ST GEORGE
LODGE GRASS, MT 59050
(45.3174, -107.37)"
KENNEDY LEARNING,WINSTON SALEM,NC,FORSYTH COUNTY SCHOOLS,"$504,908.00 ",Transformation,"1000 NORTH HIGHLAND AVE
WINSTON SALEM, NC 27101
(36.1055, -80.2332)"
BURKE ALTERNATIVE SCHOOL,MORGANTON,NC,BURKE COUNTY SCHOOLS,"$316,901.00 ",Transformation,"510 COLLEGE ST
MORGANTON, NC 28655
(35.7404, -81.6855)"
LUMBERTON SENIOR HIGH,LUMBERTON,NC,ROBESON COUNTY SCHOOLS,"$1,726.00 ",Transformation,"3901 FAYETTEVILLE RD
LUMBERTON, NC 28358
(34.6455, -79.0001)"
SOUTH CENTRAL HIGH,WINTERVILLE,NC,PITT COUNTY SCHOOLS,"$946,400.00 ",Transformation,"570 WEST FORLINES RD
WINTERVILLE, NC 28590
(35.5394, -77.4282)"
WEST MECKLENBURG HIGH,CHARLOTTE,NC,CHARLOTTE-MECKLENBURG SCHOOLS,"$879,391.00 ",Transformation,"7400 TUCKASEEGEE RD
CHARLOTTE, NC 28214
(35.2473, -80.9529)"
OAK HILL ELEMENTARY,HIGH POINT,NC,GUILFORD COUNTY SCHOOLS,"$954,735.00 ",Turnaround,"320 WRIGHTENBERRY ST
HIGH POINT, NC 27260
(35.9357, -80.0259)"
BUNCOMBE COMMUNITY-EAST,SWANNANOA,NC,BUNCOMBE COUNTY SCHOOLS,"$11,651.00 ",Turnaround,"235 OLD US 70
SWANNANOA, NC 28778
(35.6024, -82.4037)"
FAIRMONT HIGH,FAIRMONT,NC,ROBESON COUNTY SCHOOLS,"$903,372.00 ",Transformation,"5419 OLD STAGE RD
FAIRMONT, NC 28340
(34.4801, -79.0962)"
NORTH PITT HIGH,BETHEL,NC,PITT COUNTY SCHOOLS,"$728,000.00 ",Transformation,"5659 NC 11 NORTH
BETHEL, NC 27812
(35.692, -77.3663)"
CATAWBA VALLEY HIGH,HICKORY,NC,HICKORY CITY SCHOOLS,"$109,594.00 ",Turnaround,"409 8TH AVE NE
HICKORY, NC 28601
(35.7427, -81.3299)"
WARLICK SCHOOL,GASTONIA,NC,GASTON COUNTY SCHOOLS,"$766,415.00 ",Turnaround,"1316 SPENCER MOUNTAIN RD
GASTONIA, NC 28054
(35.2815, -81.1333)"
DURHAM'S PERFORMANCE LEARNING,DURHAM,NC,DURHAM PUBLIC SCHOOLS,"$883,395.00 ",Transformation,"1058 WEST CLUB BLVD
DURHAM, NC 27701
(36.0179, -78.9117)"
GOLDSBORO HIGH,GOLDSBORO,NC,WAYNE COUNTY PUBLIC SCHOOLS,"$962,048.00 ",Transformation,"901 EAST BEECH ST
GOLDSBORO, NC 27530
(35.386, -77.9812)"
BRUNSWICK LEARNING CENTER,SOUTHPORT,NC,BRUNSWICK COUNTY SCHOOLS,"$665,360.00 ",Transformation,"705 NORTH LORD ST
SOUTHPORT, NC 28461
(33.9253, -78.0227)"
W L GREENE ALTERNATIVE,NASHVILLE,NC,NASH-ROCKY MOUNT SCHOOLS,"$421,116.00 ",Transformation,"323 EAST 6TH ST
NASHVILLE, NC 27856
(35.9655, -77.9657)"
FARMVILLE CENTRAL HIGH,FARMVILLE,NC,PITT COUNTY SCHOOLS,"$618,800.00 ",Transformation,"900 EAST WILSON ST EXT
FARMVILLE, NC 27828
(35.5922, -77.5741)"
SOUTHEAST HALIFAX HIGH,HALIFAX,NC,HALIFAX COUNTY SCHOOLS,"$11,709.00 ",Transformation,"16683 HWY 125
HALIFAX, NC 27839
(36.2189, -77.5524)"
PETREE ELEMENTARY,WINSTON-SALEM,NC,FORSYTH COUNTY SCHOOLS,"$100,491.00 ",Turnaround,"3815 OLD GREENSBORO RD
WINSTON-SALEM, NC 27101
(36.1132, -80.191)"
DAVIDSON COUNTY EXT DAY,LEXINGTON,NC,DAVIDSON COUNTY SCHOOLS,,Transformation,"2065 EAST HOLLY GROVE RD
LEXINGTON, NC 27292
(35.8165, -80.1892)"
HENDERSON INDEPENDENT HIGH,SALISBURY,NC,ROWAN-SALISBURY SCHOOLS,"$816,000.00 ",Turnaround,"1215 NORTH MAIN ST
SALISBURY, NC 28144
(35.677, -80.4574)"
ANSON CHALLENGE ACADEMY,WADESBORO,NC,ANSON COUNTY SCHOOLS,"$730,689.00 ",Restart,"HWY 742 SOUTH
WADESBORO, NC 28170
(34.9656, -80.0673)"
E E WADDELL HIGH,CHARLOTTE,NC,CHARLOTTE-MECKLENBURG SCHOOLS,"$693,605.00 ",Transformation,"7030 NATIONS FORD RD
CHARLOTTE, NC 28217
(35.1553, -80.9002)"
WALKER-SPIVEY,FAYETTEVILLE,NC,CUMBERLAND COUNTY SCHOOLS,"$630,752.00 ",Transformation,"500 FISHER ST
FAYETTEVILLE, NC 28301
(35.0389, -78.8726)"
ENFIELD MIDDLE,ENFIELD,NC,HALIFAX COUNTY SCHOOLS,"$870,080.00 ",Transformation,"700 BRANCH ST
ENFIELD, NC 27823
(36.1843, -77.6755)"
MANDAREE HIGH SCHOOL,MANDAREE,ND,MANDAREE 36,"$418,574.00 ",Transformation,"1 WARRIOR CIRCLECLE
MANDAREE, ND 58757
(47.876, -102.696)"
SANTEE ELEMENTARY SCHOOL,NIOBRARA,NE,SANTEE COMMUNITY SCHOOLS,"$510,953.00 ",Transformation,"206 FRAZIER AVE EAST
NIOBRARA, NE 68760
(42.8394, -97.8506)"
CRAWFORD ELEMENTARY SCHOOL,CRAWFORD,NE,CRAWFORD PUBLIC SCHOOLS,"$429,450.00 ",Transformation,"908 5TH ST
CRAWFORD, NE 69339
(42.6809, -103.408)"
MINATARE ELEMENTARY SCHOOL,MINATARE,NE,MINATARE PUBLIC SCHOOLS,"$474,603.00 ",Transformation,"805 7TH ST
MINATARE, NE 69356
(41.8124, -103.499)"
WINNEBAGO HIGH SCHOOL,WINNEBAGO,NE,WINNEBAGO PUBLIC SCHOOLS,"$724,045.00 ",Transformation,"HWY 77AND75
WINNEBAGO, NE 68071
(42.2369, -96.4714)"
MADISON ELEMENTARY SCHOOL,MADISON,NE,MADISON PUBLIC SCHOOLS,"$465,550.00 ",Transformation,"M
MADISON, NE 68748
(40.5245, -97.4923)"
SANTEE HIGH SCHOOL,NIOBRARA,NE,SANTEE COMMUNITY SCHOOLS,"$542,500.00 ",Transformation,"206 FRAZIER AVE EAST
NIOBRARA, NE 68760
(42.8394, -97.8506)"
ELLIOTT ELEMENTARY SCHOOL,LINCOLN,NE,LINCOLN PUBLIC SCHOOLS,"$930,978.00 ",Transformation,"225 SOUTH 25TH ST
LINCOLN, NE 68510
(40.8119, -96.6863)"
PITTSFIELD HIGH SCHOOL,PITTSFIELD,NH,PITTSFIELD SCHOOL DISTRICT,"$344,358.00 ",Transformation,"23 ONEIDA ST
PITTSFIELD, NH 3263
(43.3029, -71.3181)"
NUTE HIGH SCHOOL,MILTON,NH,MILTON SCHOOL DISTRICT,"$421,278.00 ",Transformation,"22 ELM ST
MILTON, NH 3851
(43.4084, -70.9878)"
SOUTHSIDE MIDDLE SCHOOL,MANCHESTER,NH,MANCHESTER SCHOOL DISTRICT,"$346,179.00 ",Transformation,"140 SOUTH JEWETT ST
MANCHESTER, NH 3103
(42.9709, -71.438)"
NUTE JUNIOR HIGH SCHOOL,MILTON,NH,MILTON SCHOOL DISTRICT,"$337,678.00 ",Transformation,"22 ELM ST
MILTON, NH 3851
(43.4084, -70.9878)"
PARKER-VARNEY SCHOOL,MANCHESTER,NH,MANCHESTER SCHOOL DISTRICT,"$444,472.00 ",Transformation,"223 JAMES POLLACK DR
MANCHESTER, NH 3102
(42.9746, -71.4856)"
PITTSFIELD MIDDLE SCHOOL,PITTSFIELD,NH,PITTSFIELD SCHOOL DISTRICT,"$344,358.00 ",Transformation,"23 ONEIDA ST
PITTSFIELD, NH 3263
(43.3029, -71.3181)"
GOSSLER PARK SCHOOL,MANCHESTER,NH,MANCHESTER SCHOOL DISTRICT,"$423,281.00 ",Transformation,"99 SULLIVAN ST
MANCHESTER, NH 3102
(42.9891, -71.4808)"
ESSEX CTY VOC-WEST CALDW,WEST CALDWELL,NJ,ESSEX COUNTY VOCATIONAL S,"$526,481.00 ",Transformation,"620 PASSAIC AVE
WEST CALDWELL, NJ 7006
(40.8529, -74.2937)"
DAYTON ST,NEWARK,NJ,NEWARK,"$166,069.00 ",Transformation,"226 DAYTON ST
NEWARK, NJ 7114
(40.6953, -74.2029)"
RENAISSANCE ACADEMY,NEWARK,NJ,NEWARK,"$17,529.00 ",Restart,"200 WASHINGTON ST
NEWARK, NJ 7102
(40.738, -74.174)"
U S WIGGINS,CAMDEN,NJ,CAMDEN CITY,"$108,077.00 ",Transformation,"5TH AND MT VERNON STS
CAMDEN, NJ 8103
(39.9327, -75.1211)"
MALCOLM X SHABAZZ HIGH,NEWARK,NJ,NEWARK,"$179,302.00 ",Turnaround,"80 JOHNSON AVE
NEWARK, NJ 7108
(40.7193, -74.1914)"
FRED W  MARTIN #41,JERSEY CITY,NJ,JERSEY CITY,"$199,968.00 ",Turnaround,"59 WILKINSON AVE
JERSEY CITY, NJ 7305
(40.705, -74.078)"
CRAMER,CAMDEN,NJ,CAMDEN CITY,"$111,495.00 ",Transformation,"29TH AND MICKLE STS
CAMDEN, NJ 8105
(39.9453, -75.0819)"
TRENTON CENTRAL HIGH,TRENTON,NJ,TRENTON,"$159,639.00 ",Transformation,"400 CHAMBERS ST
TRENTON, NJ 8609
(40.2204, -74.7413)"
NEWARK VOCATIONAL H S,NEWARK,NJ,NEWARK,"$136,924.00 ",Transformation,"301 WEST KINNEY ST
NEWARK, NJ 7103
(40.7326, -74.1911)"
HENRY SNYDER,JERSEY CITY,NJ,JERSEY CITY,"$199,315.00 ",Turnaround,"239 BERGEN AVE
JERSEY CITY, NJ 7305
(40.7102, -74.0838)"
ABRAHAM CLARK HIGH,ROSELLE,NJ,ROSELLE BOROUGH,"$160,469.00 ",Transformation,"122 EAST 6TH AVE
ROSELLE, NJ 7203
(40.6539, -74.262)"
CENTRAL,NEWARK,NJ,NEWARK,"$193,035.00 ",Transformation,"100 SUMMIT ST
NEWARK, NJ 7102
(40.7417, -74.1782)"
R. SARRACINO MIDDLE,SOCORRO,NM,SOCORRO CONSOLIDATED SCHOOLS,"$975,000.00 ",Transformation,"1425 EL CAMINO REAL
SOCORRO, NM 87801
(34.0832, -106.899)"
LAGUNA-ACOMA HIGH,NEW LAGUNA,NM,GRANTS-CIBOLA COUNTY SCHOOLS,$15.00 ,Transformation,"HWY 66
NEW LAGUNA, NM 87038
(35.0463, -107.413)"
EL CAMINO REAL ACADEMY,ALBUQUERQUE,NM,ALBUQUERQUE PUBLIC SCHOOLS,$11.00 ,Transformation,"3713 ISLETA BLVD SW
ALBUQUERQUE, NM 87105
(35.0225, -106.683)"
T'SIYA ELEMENTARY AND MIDDLE SCHOOL,ZIA PUEBLO,NM,T'SIYA ELEMENTARY AND MIDDLE SCHOOL,,Transformation,"1000 BORREGO CANYON ROAD
ZIA PUEBLO, NM 87053
(35.507, -106.72)"
CROWNPOINT HIGH,CROWNPOINT,NM,GALLUP-MCKINLEY CTY SCHOOLS,$2.00 ,Transformation,"1 CHACO DR
CROWNPOINT, NM 87313
(35.6963, -108.152)"
ERNIE PYLE MIDDLE,ALBUQUERQUE,NM,ALBUQUERQUE PUBLIC SCHOOLS,$2.00 ,Transformation,"1820 VALDORA DR SW
ALBUQUERQUE, NM 87105
(35.05, -106.681)"
ALAMO NAVAJO SCHOOL,MAGDALENA,NM,ALAMO NAVAJO SCHOOL,,Transformation,"PO BOX 907
MAGDALENA, NM 87825
(34.1167, -107.244)"
RAMIREZ THOMAS ELEM,SANTA FE,NM,SANTA FE PUBLIC SCHOOLS,$125.00 ,Turnaround,"610 ALTA VISTA
SANTA FE, NM 87505
(35.6705, -105.953)"
NEWCOMB HIGH,NEWCOMB,NM,CENTRAL CONSOLIDATED SCHOOLS,$15.00 ,Transformation,"US HWY 491 SOUTH
NEWCOMB, NM 87455
(36.2872, -108.706)"
DIBE YAZHI HABLTI'N O'LT'A INC,CROWNPOINT,NM,DIBE YAZHI HABLTI'N O'LT'A INC,,Transformation,"PO BOX 679
CROWNPOINT, NM 87313
(35.6781, -108.151)"
LYBROOK ELEMENTARY,CUBA,NM,JEMEZ MOUNTAIN PUBLIC SCHOOLS,"$500,000.00 ",Transformation,"HCR 17 BOX 350
CUBA, NM 87013
(35.9969, -107.297)"
NASCHITTI ELEMENTARY,SHEEP SPRINGS,NM,CENTRAL CONSOLIDATED SCHOOLS,"$500,000.00 ",Transformation,"M
SHEEP SPRINGS, NM 87364
(36.1429, -108.707)"
OJO ENCINO DAY SCHOOL,CUBA,NM,OJO ENCINO DAY SCHOOL,,Transformation,"HCR 79 BOX 7
CUBA, NM 87013
(36.0222, -106.958)"
ECHO LODER ELEMENTARY SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,"$424,326.00 ",Transformation,"600 APPLACEE ST
RENO, NV 89502
(39.503, -119.792)"
RANCHO HIGH SCHOOL,NORTH LAS VEGAS,NV,CLARK COUNTY SCHOOL DISTRICT,"$100,202.00 ",Transformation,"1900 SEARLES AVE
NORTH LAS VEGAS, NV 89101
(36.1848, -115.123)"
WILLIAM O'BRIEN MIDDLE SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,"$494,913.00 ",Transformation,"10500 STEAD BLVD
RENO, NV 89506
(39.6216, -119.882)"
KIT CARSON ELEMENTARY SCHOOL,LAS VEGAS,NV,CLARK COUNTY SCHOOL DISTRICT,"$763,905.00 ",Turnaround,"1735 NORTH D ST
LAS VEGAS, NV 89106
(36.193, -115.146)"
GLENN DUNCAN ELEMENTARY SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,"$505,777.00 ",Turnaround,"1200 MONTELLO ST
RENO, NV 89512
(39.541, -119.795)"
ARCHIE CLAYTON MIDDLE SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,"$477,071.00 ",Transformation,"1295 WYOMING AVE
RENO, NV 89503
(39.537, -119.846)"
VETERANS MEMORIAL ELEMENTARY SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,"$427,337.00 ",Transformation,"1200 LOCUST ST
RENO, NV 89502
(39.5134, -119.799)"
GEORGE L DILWORTH MIDDLE SCHOOL,SPARKS,NV,WASHOE COUNTY SCHOOL DISTRICT,"$576,840.00 ",Transformation,"255 PRATER WAY
SPARKS, NV 89431
(39.5415, -119.746)"
EAGLE VALLEY MIDDLE SCHOOL,CARSON CITY,NV,CARSON CITY SCHOOL DISTRICT,"$654,043.00 ",Transformation,"4151 EAST 5TH ST
CARSON CITY, NV 89703
(39.1608, -119.726)"
SMITHRIDGE ELEMENTARY SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,"$567,154.00 ",Turnaround,"4801 NEIL RD
RENO, NV 89502
(39.4798, -119.783)"
SOUTH PARK HIGH SCHOOL,BUFFALO,NY,BUFFALO CITY SCHOOL DISTRICT,$2.00 ,Transformation,"333 CLINTON ST
BUFFALO, NY 14204
(42.8832, -78.8616)"
WILLIAM E GRADY VOCATIONAL HIGH SCHOOL,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #21,"$136,581.00 ",Transformation,"25 BRIGHTON FOURTH RD
BROOKLYN, NY 11235
(40.5825, -73.9639)"
LONG ISLAND CITY HIGH SCHOOL,LONG ISLAND CITY,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #30,$18.00 ,Transformation,"14-30 BRDWAY
LONG ISLAND CITY, NY 11106
(40.7662, -73.9335)"
ROOSEVELT HIGH SCHOOL,YONKERS,NY,YONKERS CITY SCHOOL DISTRICT,$2.00 ,Transformation,"631 TUCKAHOE RD
YONKERS, NY 10710
(40.9538, -73.845)"
Robert Brown High School of Construction and Design,Rochester,NY,Rochester City School District,"$178,685.00 ",Turnaround,"655 Colfax St
Rochester, NY 14606
(43.1779, -77.6724)"
BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,NEW YORK,NY,NEW YORK CITY GEOGRAPHIC DISTRICT # 5,"$850,510.00 ",Transformation,"6 EDGECOMBE AVE
NEW YORK, NY 10030
(40.8172, -73.9478)"
DELAWARE ELEMENTARY SCHOOL,SYRACUSE,NY,SYRACUSE CITY SCHOOL DISTRICT,$2.00 ,Transformation,"900 SOUTH GEDDES ST
SYRACUSE, NY 13204
(43.0391, -76.1728)"
INTERNATIONAL SCHOOL,BUFFALO,NY,BUFFALO CITY SCHOOL DISTRICT,$2.00 ,Transformation,"425 SOUTH PARK AVE
BUFFALO, NY 14213
(42.8711, -78.8641)"
FRANKLIN D ROOSEVELT HIGH SCHOOL,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #20,$18.00 ,Transformation,"5800 20TH AVE
BROOKLYN, NY 11204
(40.6205, -73.9817)"
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,LONG ISLAND CITY,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #24,"$130,051.00 ",Transformation,"37-02 47TH AVE
LONG ISLAND CITY, NY 11101
(40.7422, -73.9283)"
EMERSON MIDDLE SCHOOL,YONKERS,NY,YONKERS CITY SCHOOL DISTRICT,$2.00 ,Turnaround,"160 BOLMER AVE
YONKERS, NY 10703
(40.9625, -73.8776)"
Vanguard Collegiate High School,Rochester,NY,Rochester City School District,"$122,114.00 ",Turnaround,"950 Norton St
Rochester, NY 14621
(43.1886, -77.5981)"
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,NEW YORK,NY,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,"$959,246.00 ",Transformation,"131 AVE-AMERICAS
NEW YORK, NY 10013
(40.7213, -74.0087)"
GLOBAL MEDIA ARTS HS AT FRANKLIN,ROCHESTER,NY,ROCHESTER CITY SCHOOL DISTRICT,"$137,761.00 ",Turnaround,"950 NORTON ST
ROCHESTER, NY 14621
(43.1886, -77.5981)"
"DR MARTIN LUTHER KING, JR MULTICULTURAL INSTITUTE",BUFFALO,NY,BUFFALO CITY SCHOOL DISTRICT,"$188,422.00 ",Transformation,"487 HIGH ST
BUFFALO, NY 14208
(42.9001, -78.8504)"
FLUSHING HIGH SCHOOL,FLUSHING,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #25,$18.00 ,Transformation,"35-01 UNION ST
FLUSHING, NY 11354
(40.7653, -73.8278)"
COBBLE HILL SCHOOL OF AMERICAN STUDIES,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #15,"$994,888.00 ",Transformation,"347 BALTIC ST
BROOKLYN, NY 11201
(40.6846, -73.9911)"
HUGHES ELEMENTARY SCHOOL,SYRACUSE,NY,SYRACUSE CITY SCHOOL DISTRICT,$2.00 ,Transformation,"345 JAMESVILLE AVE
SYRACUSE, NY 13210
(43.0224, -76.1338)"
UNITY CENTER FOR URBAN TECHNOLOGIES,NEW YORK,NY,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,"$757,113.00 ",Transformation,"121 6TH AVE
NEW YORK, NY 10013
(40.7241, -74.0053)"
EAST HIGH SCHOOL,ROCHESTER,NY,ROCHESTER CITY SCHOOL DISTRICT,"$19,525.00 ",Transformation,"1801 EAST MAIN ST
ROCHESTER, NY 14609
(43.1581, -77.5649)"
